,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
25,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,Diebu Improved Grassland Management Project,Under development,37728,China
26,Qmark Foundation for Sustainable Livelihood Development,Agriculture Forestry and Other Land Use,LAND MANAGEMENT BY ORGANIC FARMING PRACTICES IN INDIA,Under development,275749,India
27,Multiple Proponents,Waste handling and disposal,VCS project of Leifeng water purification plant sewage treatment system,Under validation,9701,China
28,BioCarbon Partners,Agriculture Forestry and Other Land Use,Kafue Zambezi Community Forest Project,Under development,1138959,Zambia
29,Green Carbon Inc,Agriculture Forestry and Other Land Use,Reforestation carbon project in the pinatubo mountain region,Under development,679408,Philippines
30,Multiple Proponents,Waste handling and disposal,CONSTRUCTION OF END-OF-LIFE LI-ION BATTERIES AND SPENT AUTOCATALYSTS RECYCLING FACILITY,Under development,11318,Poland
31,"Qinyuan County Hetong Comprehensive Energy Service Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,Huangtupo CMM Power Generation Project,Under validation,178339,China
32,"Fujian Dunfeng Carbon Sequestration Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,SHANDONG DEZHOU IMPROVED AGRICULTURAL LAND MANAGEMENT PROJECT,Under validation,556100,China
33,One Carbon World Ltd.,Agriculture Forestry and Other Land Use,KUZA MITI AGROFORESTRY CARBON PROJECT IN KENYA,Under development,84889,Kenya
34,Linkpower s.r.o.,Energy industries (renewable/non-renewable sources),KARAGANDA LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Under development,93973,Kazakhstan
35,Project Team ATR Inc.,Energy demand,"Safe Drinking Water Programme in Punjab, Pakistan",Under validation,438893,Pakistan
36,General Villegas Biogas S.A. - Maria Elena Group,Energy industries (renewable/non-renewable sources); Waste handling and disposal,GVbio: methane recovery and renewable energy generation,Under validation,11576,Argentina
37,"Wuhan Huantou Environmental Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Wuhan Jiangxia Changshankou LFG Power Project Phase II,Under validation,157260,China
38,"Bijie Yicheng New Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,Guizhou Bijie Yuxing CMM Power Generation Project,Under validation,1103098,China
39,"Fujian Nan'an City Shengda Aluminium Alloy Co., Ltd.",Waste handling and disposal,Fujian Nan'an Shengda Aluminium Recycling Project,Under validation,59410,China
40,Omnia Group (Pty) Ltd,Energy industries (renewable/non-renewable sources),Omnia Solar PV Group Project,Under validation,31135,South Africa
41,Project Team ATR Inc.,Manufacturing industries,Waste Heat Recovery Based Power Generation Project of Bestway Cement Limited at Pakistan,Under validation,59447,Pakistan
42,Mzuri World Carbon sp. zo.o.,Agriculture Forestry and Other Land Use,Enhancing Agricultural Sustainability through Carbon Credits: Mzuri Improved Agricultural Management,Under development,1140,Poland
43,CARBON CREDITS CONSULTING S.R.L.,Energy demand,Masaka - Locally made cookstoves in Madagascar,Under validation,59698,Madagascar
44,CC Nature Limited,Agriculture Forestry and Other Land Use,"Regeneration of the Kunene Highlands Elephant Landscape, Namibia",Under development,800506,Namibia
45,CULTIVO LAND PBC,Agriculture Forestry and Other Land Use,Montana Sustainable Grazing Project,Under development,15019,United States
46,Multiple Proponents,Agriculture Forestry and Other Land Use,Nature Generator 2 Coahuila Sustainable Grazing Project,Under development,66011,Mexico
47,CNX Green Ventures LLC,Agriculture Forestry and Other Land Use,Appalachian Valley IFM Project,Under validation,112645,United States
48,Emergent Ventures India Private Limited,Agriculture Forestry and Other Land Use,GKF AGROFORESTRY PROJECT IN TELANGANA,Under development,262253,India
49,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Global Safe Drinking Water for Schools in Cambodia,Under validation,962172,Cambodia
50,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Global Safe Drinking Water for Schools in Lao,Under validation,678374,Lao
51,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Global Safe Drinking Water for Schools in Viet Nam,Under validation,938771,Viet Nam
52,Thryve.Earth Pte. Ltd.,Agriculture Forestry and Other Land Use,Agroforestry Corridors for Multi Cropping Systems in Brazil,Under development,114000,Brazil
53,ReGeneration,Agriculture Forestry and Other Land Use,Farm Resilience and Regeneration in France,Under development,356550,France
54,Bamboo King Vina Joint Stock Company,Waste handling and disposal,Bamboo King Vina Biochar Project,Under validation,108552,Viet Nam
55,Multiple Proponents,Agriculture Forestry and Other Land Use,Improved cropland management project in Aktaw and Shufu,Under validation,102663,China
56,"Zoomlion Smart Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Wuhu Improved Agricultural Land Management Project,Under validation,485986,China
57,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),OYU - Powering Kenyan SMEs with Clean Energy,Under validation,20201,Kenya
58,Evidence Action,Energy demand,Grouped Projects for Safe Water Program in Uganda,Registration requested,429057,Uganda
59,Evidence Action,Energy demand,Grouped Projects for Safe Water Program in Malawi,Registration requested,364574,Malawi
60,ITERAKA SARL,Agriculture Forestry and Other Land Use,TERAKA MADAGASCAR: SMALLHOLDER TREE PLANTING PROGRAM,Under development,49285,Madagascar
61,Amul Dairy,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",Clean & Sustainable Household Biogas Program for farmers in India by Amul,Under validation,7471,India
62,Multiple Proponents,Energy industries (renewable/non-renewable sources),FX Group Biomass to Energy Project,Under validation,19370,South Africa
63,"Zhenxiong Yonder New Energy Development Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,Yunnan Zhenxiong Zhujiawan CMM Power Generation Project,Under validation,243241,China
64,Project Team ATR Inc.,Energy industries (renewable/non-renewable sources),Grouped Solar Power Plant Project of Bestway Cement Ltd.,Under validation,42272,Pakistan
65,"Guangdong Guangye Inspection Testing Group CO., Ltd",Manufacturing industries; Waste handling and disposal,Guigang biomass wastes through use as feed stock in paper pulp production project,Under development,131029,China
66,Multiple Proponents,Agriculture Forestry and Other Land Use,Livelihood improvement by Shashwat agroforestry plantation through carbon Finance in Maharashtra,Under development,12586,India
67,MANIURJA CLIMATE CONSERVA PRIVATE LIMITED,Energy demand,Energy Efficient Cookstove Project by Maniurja Climate Conserva,Under validation,28120,India
68,"Hangzhou Chaoteng Energy Technology Co., Ltd",Agriculture Forestry and Other Land Use,Zhiduo Sustainable Grassland Management Project,Under validation,110185,China
69,"BEWG Environmental Protection Guangxi Pingnan Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Pingnan MSW Incineration and Power Generation,Under validation,111570,China
70,Therm Solutions Inc.,Waste handling and disposal,Therm- Reducing Food Loss and Waste,Under validation,198678,United States
71,Equatoria Forestry Company,Agriculture Forestry and Other Land Use,Mount Kei Reforestation Project,Under validation,32234,Uganda
72,Multiple Proponents,Agriculture Forestry and Other Land Use,KA'A PYAHU,Under validation,297640,Brazil
73,A-Gas South Africa,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,A-Gas South Africa 1,Under validation,151984,South Africa
74,Tree Aid,Agriculture Forestry and Other Land Use,Tond Tenga,Under validation,76269,Burkina Faso
75,"Gannan Asset Investment Management Group Co., Ltd.",Agriculture Forestry and Other Land Use,Gannan Improved Grassland Management Project,Under validation,272468,China
76,Offset Financial Holdings LLC,Energy demand,Safe Water Supply in Zambia,Under validation,24371,Zambia
77,Multiple Proponents,Agriculture Forestry and Other Land Use,SEIKOPAI REDD+,Under validation,219500,Peru
78,ALAGOAS AMBIENTAL S/A,Waste handling and disposal,CTR Metropolitana Landfill Gas,Under validation,95401,Brazil
79,Multiple Proponents,Agriculture Forestry and Other Land Use,Mangrove afforestation and reforestation project in Cambodia,Under validation,28650,Cambodia
80,CARBON13 LTD,Agriculture Forestry and Other Land Use,Liza Protect Forest,Under validation,207510,Congo
81,Forest Defense AG,Agriculture Forestry and Other Land Use,ARR REWILDING HUB IN GRAN CHACO ARGENTINA,Under development,278301,Argentina
82,Multiple Proponents,Energy demand,Water Purification System for Safe Drinking Water  (SDW) in Cambodia,Under validation,16004,Cambodia
83,aeco GmbH,Agriculture Forestry and Other Land Use,Aeco Peatland Restoration Latvia #1,Under development,4000,Latvia
84,Blue Carbon Singapore Pte Limited,Agriculture Forestry and Other Land Use,Delta Blue Carbon 2,Under validation,2013864,Pakistan
85,rePLANET,Agriculture Forestry and Other Land Use,"Ganaderia y Bosques (GANBOS): Combining reforestation and rotational cattle grazing practices to restore degraded pastures in the provinces of Guanacaste, San Jose and Puntarenas in Costa Rica",Under validation,131931,Costa Rica
86,Chongqing Meicun Tech Co.Ltd.,Agriculture Forestry and Other Land Use,Xinghua Improved Agriculture Land Management Project,Under validation,96236,China
87,Climate Smart Solutions Canada Inc.,Agriculture Forestry and Other Land Use,Sakahk Papakititamo (Forest Breathes),Under development,254979,Canada
88,"Azuero Reforestacion Colectiva (ARC), S.A.",Agriculture Forestry and Other Land Use,ARC Restaura Azuero,Under validation,78176,Panama
89,SJVN Green Energy Limited,Energy industries (renewable/non-renewable sources),15MW FLOATING SOLAR PV PROJECT IN HIMACHAL PRADESH,Under validation,28601,India
90,EVI Green Markets Pte. Ltd.,Energy demand,EASY BREATHE INDIA SMART COOKSTOVE PROGRAM,Registration requested,1541,India
91,The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,ETHIOPIA AGROFORESTRY PROJECT ON SMALL-SCALE COFFEE PARCELS,Under development,3328,Ethiopia
92,Multiple Proponents,Agriculture Forestry and Other Land Use,Açaí REDD+ Project,Under development,248050,Brazil
93,"Tech-Bank Food Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Tech-Bank Swine Manure Composting Project in Jiangsu Province,Under validation,56436,China
94,Yangquan Zhonglian Energy Technology Co.,"Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",Yangquan Guzhuang 8MW CMM Power Generation Project,Under validation,249831,China
95,EARTH MAA LLC,Agriculture Forestry and Other Land Use,"EARTH MAA LLC- BAMBOO, CASHEWNUT AND MANGO PLANTATIONS FOR FARMERS ECONOMIC UPGRADE",Under validation,468439,India
96,"Zhaoyuan Qingyuan Agricultural Development Group Co., Ltd.",Agriculture Forestry and Other Land Use,Heilongjiang Zhaoyuan Improved Agricultural Land Management Project,Under development,131510,China
97,eAgronom Africa OÜ,Agriculture Forestry and Other Land Use,East Africa Soil and Biodiversity improvement project,Under development,163620,Rwanda
98,MyCarbon3,Agriculture Forestry and Other Land Use,BRAZILIAN REGENERATIVE AGRICULTURE FOR CERRADO’S CARBON CREDIT (BRA-3C),Under development,259046,Brazil
99,Nova-Agri Infra-Estrutura De Armazenagem E Escoamento Agricola S.A.A.,Agriculture Forestry and Other Land Use,ARAGUAIA REDD+ BOCALON PROJECT,Under validation,33567,Brazil
100,"APh ePower Co., Ltd.",Agriculture Forestry and Other Land Use,"Afforestation Project in Nantou, Taiwan",Under validation,156,Taiwan
101,Converted from other GHG program,Energy demand,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Hoa Binh Province – CPA 001 - CER Conversion,Units Transferred from Approved GHG Program,44888,Viet Nam
102,Multiple Proponents,Agriculture Forestry and Other Land Use,Nigeria Community-based Forestry Project,Under development,127294,Nigeria
103,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),90MW FLOATING SOLAR PV POWER PROJECT IN OMKARESHWAR,Under validation,166175,India
104,Silk Grass Farms. Ltd,Waste handling and disposal,Silk Grass Biochar Project,Under validation,6500,Belize
105,Vlinder Austria GmbH,Agriculture Forestry and Other Land Use,Kupu-Kupu Project - Enhancing Livelihoods through Mangrove Restoration and Silvofishery in South Sulawesi,Under development,1045496,Indonesia
106,Odisha Forestry Sector Development Society,Agriculture Forestry and Other Land Use,"Farm Forestry Initiatives for Promotion of Community Livelihoods and Climate Resilience in Odisha, India",Under validation,175809,India
107,CORNERSTONE EV CHARGING SERVICE LIMITED,Energy industries (renewable/non-renewable sources); Transport,Cornerstone Technologies EV Charging Infrastructure Project,Under validation,1399,Hong Kong
108,Multiple Proponents,Energy demand,Credo Renewables Improved Cookstove Project in Pakistan,Under validation,1299601,Pakistan
109,Sea Forest Limited,"Livestock, enteric fermentation, and manure management",SEA FOREST ENTERIC METHANE REDUCTION IN AUSTRALIA,Under validation,1153250,Australia
110,"Guizhou Panjiang CBM Development&Utilization Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,Guizhou Mayixi Yijing CMM Power Generation Project,Registration and verification approval requested,126430,China
111,Imperative South Africa Projects Pte Ltd,Agriculture Forestry and Other Land Use,SPEKBOOM RESTORATION PROJECT BEKA EMVA IGWANISHE - ISIXHOSA,Under development,978015,South Africa
112,FrieslandCampina C.V.,"Livestock, enteric fermentation, and manure management",Reduction of Enteric Methane Emissions using Feed Additives on Dairy Farms in the Netherlands,Under validation,754785,Netherlands
113,Catalyst Incentive Solutions (Pty) Ltd,Energy industries (renewable/non-renewable sources),Small Scale Solar Grouped Project in South Africa,Under validation,5613,South Africa
114,Organica Consultoria LTDA,Agriculture Forestry and Other Land Use,Guaranatuba REDD+ AUDD Grouped Project,Under development,5856,Brazil
115,"Henan Huiyu Industrial Development Co., Ltd",Agriculture Forestry and Other Land Use,IMPROVED CROPLAND MANAGEMENT PROJECT IN TANGHE,Under validation,253568,China
116,"Zhejiang Hengxin Power Co.,Ltd.",Waste handling and disposal,Zhejiang Hengxin PET Recycling Project,Under validation,55396,China
117,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Hengyang New Hope Swine Farm AWMS GHG Mitigation project,Under validation,87939,China
118,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Longhai New Hope manure management project,Registration and verification approval requested,141017,China
119,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Liquan New Hope Manure Management Project,Under validation,59941,China
120,"Daqing Datong District Urban Construction Investment and Development Co., Ltd. Agricultural Development Branch",Agriculture Forestry and Other Land Use,Heilongjiang Datong Improved Agricultural Land Management Project,Under development,123249,China
121,Ms. TATA COFFEE LIMITED,Agriculture Forestry and Other Land Use,M/s. TATA COFFEE LIMITED (TCL) TREE PLANTATION CARBON PROJECT IN WESTERN GHATS,Under development,52464,India
122,"Shanxi Xiyang Fenghui coal industry Co., Ltd. Power Plant",Energy industries (renewable/non-renewable sources); Mining/mineral production,Shanxi Xiyang CMM Power Generation Project,Under validation,827531,China
123,1415 AB,Agriculture Forestry and Other Land Use,Initiative 1415 - CO2/BCA,Inactive,659900,Sweden
124,Belterra Agroflorestas,Agriculture Forestry and Other Land Use,Agroforestry in Brazilian Biomes,Under development,56394,Brazil
125,Liangshan Modern Agricultural Silicon Valley Investment and Development Group Co.,Agriculture Forestry and Other Land Use,Butuo County Grassland Sustainable Management Project,Under validation,1425760,China
126,Growing Forestlands Inc. (Growing Forests),Agriculture Forestry and Other Land Use,Growing Forest Carbon Project,Under validation,834,Canada
127,"RENU Communities, LLC",Energy demand,Taurus Energy Efficiency Consortium,Under development,333,United States
128,"ANEW ENVIRONMENTAL, LLC",Energy industries (renewable/non-renewable sources); Manufacturing industries,NGON Texas Beneficial Use of Waste Flare Gas Energy,Under validation,17800,United States
129,OYU Green Private Limited,Energy demand,OYU - Clean Cooking in Uganda,Registration and verification approval requested,162274,Uganda
130,"Yangjiang SUS Environmental Protection Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Yangjiang MSW incineration and power generation,Under development,153260,China
131,"Pachama, Inc.",Agriculture Forestry and Other Land Use,Águas da Mata Atlântica,Under development,53240,Brazil
132,Multiple Proponents,Agriculture Forestry and Other Land Use,Entooma Sidai: A Maasai Mara Rangeland Restoration and Conservation Project,Under development,689731,Kenya
133,Amalgamated Plantations Private Limited,Agriculture Forestry and Other Land Use,"Afforestation Project in the Tea Estates of Amalgamated Plantations Pvt Ltd., Assam and North Bengal, India",Under development,29912,India
134,Shree Cement Limited,Energy industries (renewable/non-renewable sources),Captive solar photovoltaic power project in India by Shree Cement Limited,Registration and verification approval requested,33929,India
135,Community Markets for Conservation (COMACO),Agriculture Forestry and Other Land Use,COMACO South Landscape Management Project,Under development,189258,Zambia
136,OYU Green Private Limited,Agriculture Forestry and Other Land Use,OYU - Greening India Mission (GIM),Under development,112120,India
137,Core CarbonX Solutions Pvt. Ltd.,Energy industries (renewable/non-renewable sources),CORE CARBON SOLAR POWER PROJECT,Under validation,6908,India
138,Ecological Restoration Organization,Energy industries (renewable/non-renewable sources),CLEAN BIO-ENERGY INITIATIVE IN  MADHYA PRADESH AND MAHARASHTRA,Registration requested,40034,India
139,Reliance BP Mobility Limited,Energy industries (renewable/non-renewable sources); Transport,RBML (Reliance BP Mobility Limited) EV Charging Infrastructure Project,Registration requested,1068196,India
140,Converted from other GHG program,Energy demand,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-001 - CER Conversion,Units Transferred from Approved GHG Program,37722,Madagascar
141,Converted from other GHG program,Energy demand,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-002 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
142,Converted from other GHG program,Energy demand,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-003 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
143,Converted from other GHG program,Energy demand,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-004 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
144,Converted from other GHG program,Energy demand,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-005 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
145,Converted from other GHG program,Energy demand,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-009 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
146,Converted from other GHG program,Energy demand,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-006 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
147,Converted from other GHG program,Energy demand,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-007 - CER Conversion,Units Transferred from Approved GHG Program,37950,Madagascar
148,Converted from other GHG program,Energy demand,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-008 - CER Conversions,Units Transferred from Approved GHG Program,37950,Madagascar
149,Dian Fossey Gorilla Fund,Agriculture Forestry and Other Land Use,Nkuba REDD+ Project,Under validation,408778,"Congo, The Democratic Republic of The"
150,Brascarbon Consultoria Projetos e Representacao S/A,Waste handling and disposal,Brascarbon Methane Recovery Project BCA-BRA-20,Under validation,58452,Brazil
151,PT. Pagatan Usaha Makmur,Agriculture Forestry and Other Land Use,PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project),Under validation,1166666,Indonesia
152,Carbon Sink Group s.r.l.,Agriculture Forestry and Other Land Use,Yambone REDD+ Project,Under development,71730,Mozambique
153,"Shanghai Treasure Carbon New Energy Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Liuzhou MSW Incineration Project,Registration requested,232709,China
154,Agrorobotica - Photonic in Agroenvironmental Certification SA,Agriculture Forestry and Other Land Use,Brazilian ALM Carbon Program in different crop use and pasture integrated system,Under validation,2081060,Brazil
155,"Fujian Huanrong Environmental Protection Co., Ltd",Agriculture Forestry and Other Land Use,Grouped Improved Agricultural Land Management Project in Jilin Province,Under development,1049766,China
156,Organica Consultoria LTDA,Agriculture Forestry and Other Land Use,TAPERA AMAZONAS REDD+,Under validation,943934,Brazil
157,OU E-Agronom,"Agriculture Forestry and Other Land Use; Livestock, enteric fermentation, and manure management",The Regenerative Agriculture project for Eastern European Soils,Under validation,1600000,Ukraine
158,CONCESSIONARIA CENTRO SUL 1 SPE LTDA,Waste handling and disposal,CTDR Paracambi Landfill Gas,Under validation,44269,Brazil
159,Berglandmilch eGen,"Livestock, enteric fermentation, and manure management",Berglandmilch Cooperative Grouped Project: Reduction of methane emissions in the Austrian Dairy Sector,Under validation,24227,Austria
160,Dit AgTech Limited,"Livestock, enteric fermentation, and manure management",DIT AgTech grouped project: reduction of enteric methane emissions from livestock production systems via the uDOSE water medication technology.,Under validation,284579,Australia
161,Multiple Proponents,Agriculture Forestry and Other Land Use,Ghana Wli Agorviefe Afforestation Project,Under development,327004,Ghana
162,"Heilongjiang Boneng Green Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Taiping Township Waste Resource Utilization Project,Registration requested,44874,China
163,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Chiping Municipal Solid Waste Incineration For Power Generation Project,Under validation,68059,China
164,Multiple Proponents,Energy industries (renewable/non-renewable sources),DICLE DIYARBAKIR LFG PROJECT,Registration requested,151932,Turkey
165,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),Nam Ngiep 2A Hydropower project,Under validation,20550,Lao
166,Multiple Proponents,Agriculture Forestry and Other Land Use,TAFILALET AGROFORESTRY SYSTEM  MOROCCO,Inactive,6660,Morocco
167,"Shanghai Treasure Carbon New Energy Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Shunping MSW Incineration and Power Generation PPP Project,Registration requested,60020,China
168,Multiple Proponents,Waste handling and disposal,SORTING AND RECYCLING COMPANY FOR ENVIRONMENTAL SERVICES (EADA),Under validation,60000,Saudi Arabia
169,"Cooperativa Central de Credito, Poupanca e Investimento dos Estados do Parana, Sao Paulo e Rio de Ja","Livestock, enteric fermentation, and manure management",Sicredi Methane Avoidance in Animal Effluents Umbrella Program,Under validation,43928,Brazil
170,"Xiangyuan Luxin Coal Mine Methane Power Generation Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,Shanxi Xiadian CMM Power Generation Project,Registration requested,293714,China
171,"Gaotang Guohuan Renewable Resources Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Gaotang Municipal Solid Waste Incineration For Power Generation Project,Registration requested,66250,China
172,Soils for the Future Tanzania,Agriculture Forestry and Other Land Use,Longido and Monduli Rangelands Carbon Project,Under development,1553000,Tanzania
173,Multiple Proponents,Agriculture Forestry and Other Land Use,Peruvian Amazon Conservation Project,Under development,750000,Peru
174,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Guangxi Laibin Organic Wastewater Biogas Power Generation Comprehensive Utilization Project,Registration requested,62771,China
175,Multiple Proponents,Energy industries (renewable/non-renewable sources),Solar Power Project by Dalmia Cement in Assam,Registration and verification approval requested,25814,India
176,Carbon Friendly Pty Ltd.,Agriculture Forestry and Other Land Use,Carbon Smart Cropping and Pasture Systems Australia,Under development,1900750,Australia
177,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Rocio Bioenergy Plant for Manure Management – AMBICOOP,Under development,51062,Brazil
178,ZayoHub Zambia,Agriculture Forestry and Other Land Use,Mafisa Livestock Grazing Carbon Project,Under validation,1182162,Zambia
179,Carbone Terre a Terre,Agriculture Forestry and Other Land Use,ARBRE,Under development,6865,Canada
180,S2 Services,Agriculture Forestry and Other Land Use,Project to Restore Degraded Lands by Planting Forest and Fruit Trees in Northern Cameroon,Under development,180881,Cameroon
181,Multiple Proponents,Manufacturing industries,AAC block project by Bigbloc building elements private limited,Under validation,48032,India
182,Advanced Magnesium Alloys Corporation (AMACOR),Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride; Manufacturing industries,SF6 Alternate Cover Gas Conversion Project for AMACOR Magnesium Recycling Facility,Under validation,128552,United States
183,ECCON Solucoes Ambientais,Agriculture Forestry and Other Land Use,REDD Pantanal,Under development,61243,Brazil
184,OYU Green Private Limited,Agriculture Forestry and Other Land Use,OYU - Reforesting Kenya for a better tomorrow,Under validation,184724,Kenya
